genes	baseMean	log2FoldChange	lfcSE	pvalue	padj
ABCB5	ABCB5	183.894183991439	-4.06623457040183	0.232962519438756	8.02940164297959e-64	4.77243343031888e-62
ABCB6	ABCB6	23.0156981566139	-0.323555054413258	0.111294892545153	0.00322268900158156	0.0057668570834859
ABCB7	ABCB7	1725.85866352244	-0.0305787661294587	0.0446010236626325	0.491618659185057	0.573779541337895
ABCB8	ABCB8	1652.88749194031	0.809458251507574	0.0720144578332427	2.88998178951277e-29	3.07960509985822e-28
ABCB9	ABCB9	559.525750203157	0.814533887622569	0.106394531314084	1.33419455187513e-14	6.19616419265448e-14
ABCC1	ABCC1	3673.84397139983	0.367356723231479	0.0666154367344976	3.25065234176521e-08	9.56241224975267e-08
ABCC10	ABCC10	1200.04210568053	0.230975493409054	0.0522632457878169	1.00028234644347e-05	2.36574501317282e-05
ABCC11	ABCC11	3656.1542925553	0.961631047759669	0.330302233828139	0.00165067391043064	0.00306098698769753
ABCC12	ABCC12	90.0114662524222	0.699406152984947	0.429758132399606	0.0612546123152655	0.0895818941580251
ABCC13	ABCC13	195.922904825947	2.9651309812018	0.508728549569806	1.03152892346172e-09	3.41062269803886e-09
ABCC2	ABCC2	233.641719679531	-0.750317368480403	0.18847033497766	4.10440147280741e-05	9.1164525867249e-05
ABCC3	ABCC3	1589.27087989358	-0.344253001815305	0.156136648307211	0.0239891889077167	0.0378571024418295
ABCC4	ABCC4	920.993472022869	0.377898917139932	0.129342366336598	0.00308956633814126	0.00553844857808018
ABCC5	ABCC5	3583.13406507119	0.861453904599776	0.105056556538283	1.79976389725355e-16	9.40296206623899e-16
ABCC5-AS1	ABCC5-AS1	0.831189823933215	1.03081271750678	0.582494996171788	0.0379947694860472	0.057890010032918
ABCC6	ABCC6	523.766793706389	-1.77780390213275	0.175177586924015	1.49200012510554e-24	1.24738970270349e-23
ABCC6P1	ABCC6P1	26.3532476514148	-2.55878704967018	0.252244160111446	5.01251857885211e-25	4.30261455196856e-24
ABCC6P2	ABCC6P2	17.3082689752602	-0.805403642679899	0.194867938813041	1.72243778371221e-05	3.97481319549641e-05
ABCC8	ABCC8	531.434539690581	-0.0105897397457409	0.283937841227017	0.967595951075593	0.980459895412405
ABCC9	ABCC9	2042.74149613542	-1.44525235176086	0.172563931235303	2.2627022276005e-17	1.24797979225034e-16
ABCD1	ABCD1	1225.62294405589	0.480537605062092	0.112579368555064	1.62817739209887e-05	3.76934364176332e-05
ABCD2	ABCD2	721.716846887217	-3.17137562571897	0.276457504366644	2.50859288806626e-31	2.97406595663638e-30
ABCD3	ABCD3	5919.1559228802	0.541739814420142	0.081891396005726	3.120527425436e-11	1.15557541780675e-10
ABCD4	ABCD4	1861.05425560785	-0.656477662377643	0.0567588598691815	6.56629009727701e-31	7.61366718984267e-30
ABCE1	ABCE1	4083.09174006217	0.348335550236356	0.0598335272354985	5.42322856148846e-09	1.69263505495578e-08
ABCF1	ABCF1	5117.51079281947	0.414539294147787	0.0504987363053744	2.12937116179905e-16	1.10661588739197e-15
ABCF2	ABCF2	962.355455374917	0.35279323957826	0.0566243197011845	4.36607445451818e-10	1.48553225980407e-09
ABCF2P1	ABCF2P1	0.594781122130982	0.1448786235779	0.589124024904069	0.735081393675864	0.79767887235974
ABCF3	ABCF3	3258.80496934011	0.46975383480094	0.0536493970685051	1.90104649813461e-18	1.11790005664334e-17
ABCG1	ABCG1	2511.4674662039	0.788862788647327	0.0840091242063841	5.25122987964126e-21	3.6151400563269e-20
ABCG2	ABCG2	552.90813340063	-1.43772604331842	0.137102147420679	1.14133095034407e-25	1.01568115397378e-24
ABCG4	ABCG4	12.105490913842	0.100321217126523	0.117765132941231	0.389551037355807	0.470122592004099
ABCG5	ABCG5	9.26029867663788	-0.16803181504812	0.125077469208727	0.170172445699425	0.22656132749163
ABCG8	ABCG8	15.8854218956611	-0.797269477996544	0.215053439191164	0.000110281384259306	0.000234592550636412
ABHD1	ABHD1	98.0452977703815	-0.851479464320865	0.110754532111647	9.20954196264051e-15	4.33278504069152e-14
ABHD10	ABHD10	1998.04538798621	0.167155288115233	0.0528784590952985	0.00153899791748232	0.00286410889605653
ABHD11	ABHD11	2087.20553701841	1.12658217212355	0.0909374661810644	4.03532370344417e-35	5.89951313651522e-34
ABHD11-AS1	ABHD11-AS1	77.396852063016	0.818360354790295	0.139254012081754	2.60032122017866e-09	8.33502763995452e-09
ABHD12	ABHD12	3800.52767304913	0.992065223466321	0.0647836505137146	1.82935558562052e-52	6.39280239974997e-51
ABHD12B	ABHD12B	113.270759443118	-0.680006084032135	0.24609930259015	0.00346652759543779	0.00617912038370249
ABHD13	ABHD13	1466.5274534545	-0.151550005690239	0.0468766395376869	0.00119887627386623	0.00226111990961972
ABHD14A	ABHD14A	253.633623425469	-0.320716860941566	0.0863002829047477	0.000193956207951013	0.000402019768736818
ABHD14A-ACY1	ABHD14A-ACY1	3.89215425680431	0.311719058450817	0.176038009327244	0.0684848980326464	0.0992040804015949
ABHD14B	ABHD14B	4946.4847603802	-0.741958098992134	0.0756443534673047	9.24885458527774e-23	7.03258960241555e-22
ABHD15	ABHD15	1668.30751915705	-0.291273733856303	0.115690055483757	0.0108216303213772	0.0180097391207297
ABHD16A	ABHD16A	47.4209812373591	-0.0143622436039488	0.0654601419856215	0.829404311390586	0.875039691971896
ABHD17A	ABHD17A	1338.48934558591	-0.0609938315714081	0.0627265382813251	0.328879720425167	0.405934361051097
ABHD17AP1	ABHD17AP1	5.36053046629898	-0.0900356127614318	0.135170644266309	0.498030496504221	0.579923232981192
ABHD17AP3	ABHD17AP3	1.51967664067429	0.321090567829855	0.241429001194166	0.158405041414347	0.212542940760268
ABHD17AP4	ABHD17AP4	1.37655494327404	0.158530442726919	0.292355967562069	0.570160237433576	0.649813625421799
ABHD17AP5	ABHD17AP5	1.98821181528827	-0.305312105906173	0.206875195191863	0.128442893450639	0.175829640275677
ABHD17AP6	ABHD17AP6	1.76726147087872	0.058561668581032	0.220020815279625	0.76705411036365	0.82536837379558
ABHD17B	ABHD17B	996.688589825361	0.0177249009238737	0.0621734183430488	0.775403631838853	0.832285150830745
ABHD17C	ABHD17C	1380.23480361794	1.29429105843663	0.116059427505531	6.47614296276753e-29	6.78201942192105e-28
ABHD18	ABHD18	723.457628923469	0.109063433333349	0.0575162038502239	0.0573788434479097	0.0844164572150482
ABHD2	ABHD2	12221.9381759549	0.813591771731873	0.100631411656971	4.32163166733948e-16	2.20731519230879e-15
ABHD3	ABHD3	1441.3579575978	0.817238482157601	0.106113362869966	9.21542377379891e-15	4.33497554882147e-14
ABHD4	ABHD4	2939.44544487374	0.034458994975072	0.0691281360374345	0.618922683278683	0.695051389154997
ABHD5	ABHD5	3255.71535157659	-0.388272741051077	0.071982486275544	6.12220456495075e-08	1.76054451487627e-07
ABHD6	ABHD6	682.033744856756	-1.00751123706764	0.100862086459857	1.41795436851563e-23	1.13349810674854e-22
ABHD8	ABHD8	501.59587674739	0.25890103846466	0.0735417689415551	0.000408660641623673	0.000814213160057532
ABI1	ABI1	4588.00351945064	0.177843036311647	0.0373315085020153	1.86056633959649e-06	4.72320211038904e-06
ABI1P1	ABI1P1	0.599866451941761	-0.087289188328282	0.725526489925481	0.832508838176634	0.877616381102207
ABI2	ABI2	4111.16149358981	-0.174940467839152	0.070378871129575	0.0125336805358521	0.0206510255381294
ABI3	ABI3	545.984026412787	0.104564635873316	0.0894389814765619	0.238996971036728	0.306503041801345
ABI3BP	ABI3BP	4014.99249698971	-2.09070530483216	0.193395262304085	9.18644907680021e-28	9.06722778679987e-27
ABITRAM	ABITRAM	1315.25025295944	0.0994152479947245	0.0514280129336268	0.0528055071675106	0.0783103434804803
ABL1	ABL1	6888.89428119905	-0.197363930906657	0.0522321955962311	0.000152262161777813	0.000318869624638619
ABL2	ABL2	3351.2150254862	0.510861537989212	0.0531213960833054	6.57411859614397e-22	4.7681235470187e-21
ABLIM1	ABLIM1	13888.3596037182	-1.2273599413709	0.0933385714498938	3.30532269069666e-39	5.93665500032948e-38
ABLIM2	ABLIM2	372.498329471392	-0.0703319729608619	0.123886341424067	0.562322414361845	0.642412849977602
ABLIM3	ABLIM3	3895.13934062821	-1.52540381030485	0.156240532410464	6.0984561695091e-23	4.68851961814542e-22
ABO	ABO	460.965555780971	-1.67578340525553	0.188561365622591	5.34346306800565e-19	3.25700743536745e-18
ABR	ABR	5267.70212464359	-0.251665305627222	0.0543198498071736	3.39128046879191e-06	8.38807062378136e-06
ABRA	ABRA	212.018409376469	-2.43192397032902	0.381806873008844	1.68594671862452e-10	5.92855779100686e-10
ABRACL	ABRACL	1602.82396801948	1.14530764507584	0.093656247753602	3.60128695962323e-34	5.0043030776847e-33
ABRAXAS1	ABRAXAS1	514.17807158787	-0.439143801252309	0.0597338107238705	1.84513929224722e-13	7.95287642538977e-13
ABRAXAS2	ABRAXAS2	1646.45947602832	0.157190182847925	0.038403570266878	4.1847465475783e-05	9.28498323414198e-05
ABT1	ABT1	1589.53367366407	0.214246317037904	0.0457630121733511	2.76132782772843e-06	6.88676718107305e-06
ABTB1	ABTB1	1755.13647273963	-0.885845567824905	0.0842303231389657	6.53086238325898e-26	5.89193745367229e-25
ABTB2	ABTB2	562.694628201666	-0.0952613715882518	0.134618295163122	0.462445568191884	0.544692340353238
AC000032.1	AC000032.1	1.12615445884443	-0.281522814845775	0.76883724989783	0.624092403526454	0.699956483911995
AC000036.1	AC000036.1	3.30661810913802	-2.16325849239453	0.272198705175292	8.64897069780586e-17	4.60926535153563e-16
AC000050.2	AC000050.2	5.75930421708344	-1.7770038628633	0.237755845902206	1.58484497647744e-14	7.3294157961455e-14
AC000065.1	AC000065.1	3.55170106944746	-0.422905891162986	0.230981129090774	0.054359489110635	0.0804024814888167
AC000065.2	AC000065.2	1.25107266733568	-0.595359411678289	0.514346621944549	0.169858879504679	0.226203467151791
AC000067.1	AC000067.1	1.43956322785966	2.38524389746558	0.521514206256482	2.38347221995964e-06	5.98321231252647e-06
AC000068.1	AC000068.1	46.5661885645314	0.277031779817582	0.117088066247816	0.0167173840833852	0.0270033017314752
AC000068.2	AC000068.2	3.97126583092378	-0.106993405131333	0.15613846806195	0.488711851705167	0.570782517686699
AC000072.1	AC000072.1	1.85023259342693	-0.822516280365462	0.326368469024942	0.00749652508612046	0.0127772234647766
AC000078.1	AC000078.1	14.3448918299855	-0.843078979604855	0.144209455046047	2.59751676261323e-09	8.32679299400079e-09
AC000082.1	AC000082.1	5.89857262233149	-3.6634606115404	0.339409474542378	3.26092574869783e-29	3.46418261047458e-28
AC000085.1	AC000085.1	12.0724992963085	-2.54911014996085	0.158346434350311	4.69798804848171e-61	2.43613412514011e-59
AC000089.1	AC000089.1	41.0744199181667	-0.0503372627596429	0.0966913339220608	0.598923489695474	0.676750246440042
AC000093.1	AC000093.1	20.1105805756001	-0.771713728122353	0.164828099308971	1.67234971685561e-06	4.26437722522162e-06
AC000120.1	AC000120.1	12.9550810105195	-0.739169240911366	0.137901546893065	4.92431416826311e-08	1.42803091890631e-07
AC000123.1	AC000123.1	41.9604455235624	-0.102975844123162	0.073008895002845	0.156011662516316	0.209593999577933
AC000123.2	AC000123.2	17.8844704733973	-0.0679843180692926	0.0944109614674539	0.467057870095223	0.549283415114814
AC000123.3	AC000123.3	274.370284376733	-0.0147356943525386	0.0769836788400548	0.847925000272446	0.889290261999853
AC000124.1	AC000124.1	3.23731910642468	0.999449847765463	0.543403489593422	0.0299258435042864	0.0464484290335347
AC000403.1	AC000403.1	85.0561335212954	-0.9695160453123	0.084222052189627	8.75746052841969e-31	1.00881951657186e-29
AC001226.1	AC001226.1	4.16389794700268	-0.32556531205099	0.169474215489889	0.0480874792778583	0.0718832405385688
AC001226.2	AC001226.2	15.1908062748787	-0.894378929325161	0.114634637142094	2.94394063661533e-15	1.42933087059172e-14
AC002044.1	AC002044.1	1.0074265749833	-0.0120426764877012	0.430994019534457	0.939481038377189	0.959836687049236
AC002044.2	AC002044.2	3.6257182307751	-0.204257942380103	0.180350658047626	0.246366909648216	0.314926832925221
